topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_102_2044,154,101,2044,4.718199609,55,1115.91,0,,,,55,1.6,0,50,0.71,9.09,62,0.12,11.29%,60,0.027,8.33%
zoo_102_2550,180,102,2550,5.891764706,55,309.57,0,,,,55,5.65,0,51,1.07,7.27,72,0.19,23.61%,65,0.038,15.38%
zoo_104_531,167,101,531,3.532956685,70,3.43,0,,,,70,0.28,0,50,0.16,28.57,79,0.01,11.39%,82,0.004,14.63%
zoo_104_1061,168,100,1061,3.771913289,60,12.68,0,,,,60,0.6,0,48,0.33,20,73,0.03,17.81%,74,0.009,18.92%
zoo_104_1592,179,104,1592,3.890703518,55,196.7,0,,,,55,1.06,0,52,0.56,5.45,70,0.07,21.43%,77,0.015,28.57%
zoo_104_2121,179,104,2121,3.972654408,56,43.04,0,,,,56,2.05,0,52,0.74,7.14,64,0.10,12.50%,68,0.037,17.65%
zoo_104_2652,179,104,2652,4.052036199,55,55.67,0,,,,55,1.85,0,52,1.01,5.45,60,0.14,8.33%,61,0.029,9.84%
zoo_106_552,168,90,552,4.702898551,65,4.95,0,,,,64,0.33,1.53,38,0.19,41.53,76,0.03,14.47%,77,0.006,15.58%
zoo_106_1103,206,99,1103,4.986400725,70,146.03,0,,,,70,1.11,0,47,0.46,32.85,86,0.06,18.60%,90,0.015,22.22%
zoo_106_1654,218,101,1654,5.139056832,68,268.45,0,,,,68,2.84,0,48,0.74,29.41,86,0.10,20.93%,95,0.022,28.42%
zoo_106_1655,181,104,1655,4.712386707,59,208.87,0,,,,59,1.61,0,51,0.66,13.55,75,0.09,21.33%,73,0.019,19.18%
zoo_106_2205,230,105,2205,5.17414966,74,3036.33,2.45,,,,74,4.12,0,52,1.08,29.72,88,0.17,15.91%,96,0.034,22.92%
zoo_106_2206,181,104,2206,4.80643699,58,155.76,0,,,,58,3.06,0,51,0.93,12.06,70,0.13,17.14%,68,0.026,14.71%
zoo_106_2756,232,106,2756,5.249637155,73,871.7,0,,,,73,6.94,0,53,1.39,27.39,82,0.22,10.98%,95,0.040,23.16%
zoo_108_573,168,100,573,3.591623037,67,13.8,0,,,,67,0.32,0,48,0.17,28.35,74,0.02,9.46%,76,0.005,11.84%
zoo_108_1145,189,108,1145,3.96768559,66,17.45,0,,,,66,0.72,0,54,0.41,18.18,75,0.05,12.00%,81,0.014,18.52%
